timestamp,pair,price,sma_short_50,sma_long_200,ema_12,ema_26,atr_14,rsi_14,recent_high_20,signal
2025-11-09T21:34:04.158016+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-09T21:34:59.386115+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-09T22:02:27.361403+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-09T22:03:09.589718+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-09T22:03:35.930689+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-09T22:06:29.164449+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-09T22:08:12.999274+09:00,BTC/JPY,,,,,,,,,BUY
2025-11-09T22:29:26.146158+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-09T22:31:31.044816+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-09T22:44:20.736622+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-09T22:55:21.596482+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-09T23:44:44.617662+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-09T23:47:13.516331+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-09T23:48:44.925818+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-11T00:02:12.109040+09:00,BTC/JPY,,,,,,,,,BUY
2025-11-11T00:03:03.182371+09:00,BTC/JPY,,,,,,,,,BUY
2025-11-11T00:19:38.247126+09:00,BTC/JPY,,,,,,,,,BUY
2025-11-11T00:21:24.398350+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-11T00:24:52.239907+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-11T00:29:53.814259+09:00,BTC/JPY,,,,,,,,,BUY
2025-11-11T00:32:35.340710+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-11T00:38:58.047317+09:00,BTC/JPY,,,,,,,,,BUY
2025-11-11T00:40:19.477251+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-11T00:47:38.250639+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-11T00:48:12.681267+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-11T00:52:27.785054+09:00,BTC/JPY,,,,,,,,,BUY
2025-11-11T00:52:59.843814+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-11T01:00:05.970097+09:00,BTC/JPY,,,,,,,,,BUY
2025-11-11T01:00:28.155613+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-11T01:04:41.280719+09:00,BTC/JPY,,,,,,,,,BUY
2025-11-11T01:04:46.572659+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-11T01:13:21.319878+09:00,BTC/JPY,,,,,,,,,BUY
2025-11-11T01:13:24.715802+09:00,BTC/JPY,,,,,,,,,NONE
2025-11-11T01:16:24.891808+09:00,BTC/JPY,,,,,,,,,BUY
